LewisHamilton	3	10	4	13	6	5	8	4	3	3	3	2	2	20	4	5	9	5	2	2	2	18	14	8	3
GeorgeRussel	4	5	3	4	5	3	5	3	4	18	4	3	3	4	2	3	14	8	5	4	1	5	11	4	1
MaxVerstappen	19	1	18	1	1	1	3	1	1	7	2	1	1	1	1	1	7	1	1	1	6	1	1	1	4
SergioPerez	18	4	2	2	4	2	1	2	20	2	20	4	5	2	5	6	1	2	4	3	7	3	3	5	5
CharlesLeclerc	1	2	1	6	2	20	4	19	5	4	1	19	6	6	3	2	2	3	3	6	4	2	2	2	6
CarlosSainz	2	3	20	20	3	4	2	20	2	1	18	5	4	3	8	4	3	19	20	5	3	4	4	3	2
LandoNorris	15	7	5	3	19	8	6	9	15	6	7	7	7	12	7	7	4	10	6	9	18	6	5	11	7
DanielRiccardo	14	17	6	18	13	12	13	8	11	13	9	9	15	15	17	17	5	11	16	7	20	9	6	12	11
FernandoAlonso	9	16	17	19	11	9	7	7	9	5	10	6	8	5	6	19	18	7	7	19	5	20	9	20	18
EstabanOcon	7	6	7	14	8	7	12	10	6	15	5	8	9	7	9	11	16	4	11	8	8	7	16	6	17
SebastianVettel	17	12	19	8	17	11	10	6	12	9	17	11	10	8	14	20	8	6	8	14	11	10	13	19	9
LanceStroll	12	13	12	10	10	15	14	16	10	11	13	10	11	11	10	18	6	12	18	15	10	8	15	13	16
KevinMagnussen	5	9	14	9	16	17	20	17	17	10	8	18	16	16	15	16	12	14	9	17	19	17	8	7	8
MickSchumacher	11	20	13	17	15	14	19	14	19	8	6	15	14	17	13	12	13	17	15	16	13	16	10	9	12
PierreGasly	20	8	9	12	18	13	11	5	14	16	15	12	12	9	11	8	10	18	14	11	14	14	17	15	10
YukiTsunoda	8	19	15	7	12	10	17	13	18	14	16	20	19	13	20	14	15	13	10	20	17	11	12	17	15
ZhouGuanyu	10	11	11	15	20	19	16	18	8	19	14	16	13	14	16	10	20	16	12	13	12	12	20	14	13
ValtteriBottas	6	15	8	5	7	6	9	11	7	17	11	14	20	19	19	13	11	15	19	10	9	15	7	10	14
NicholasLatifi	16	18	16	16	14	16	15	15	16	12	19	17	18	18	18	15	19	9	17	18	16	19	19	18	19
AlexAlbon	13	14	10	11	9	18	18	12	13	20	12	13	17	10	12	9	17	20	13	12	15	13	18	16	20
